Orionintie|24.76728,60.18267
Mesimäki|24.61881,60.18583
Simaportti|24.62272,60.18767
Simaportti|24.62287,60.18774
Vanha Vanttilantie|24.62232,60.18972
Vantinkulma|24.61256,60.18218
Hummelbacken|24.68496,60.3146
Hummelbacken|24.68508,60.31467
Nemlahdentie|24.70013,60.30363
Nemlahdentie|24.70047,60.30365
Vanha Nemlahdentie|24.70552,60.30753
Vanha Nemlahdentie|24.70643,60.30807
Suolahti|24.71071,60.31253
Suolahti|24.71071,60.31223
Ylijärvi|24.71495,60.31606
Hanaja|24.6883,60.24266
Hanaja|24.6883,60.24277
Piennartie|24.72685,60.31157
Valopoiju|24.62934,60.15518
Lahnus|24.71657,60.31572
Merivalkama|24.63386,60.1542
Hemgård|24.70452,60.31825
Vilkkupoiju|24.62737,60.15516
Piennartie|24.7241,60.31226
Lahnus|24.71427,60.31699
Luukki|24.69631,60.31928
Kivenlahti|24.63326,60.15606
Klockars|24.6786,60.32298
Maininki|24.64661,60.15445
Hemgård|24.70547,60.31804
Maininki|24.6459,60.1548
Merivalkama|24.63389,60.15423
Luukki|24.69525,60.31969
Alakaupunki|24.63136,60.15527
Kivenlahti|24.63086,60.15638
Alakaupunki|24.63183,60.15539
Merivalkama|24.63399,60.1532
Merivalkama|24.63371,60.15326
Aalto|24.64118,60.15023
Aalto|24.64119,60.15006
Ristiaallokonkatu|24.64148,60.15469
Merivalkama|24.63405,60.15301
Merivirta|24.63802,60.15426
Merivirta|24.63809,60.15431
Aallonhuippu|24.63991,60.15239
Maininkitie|24.64672,60.1518
Maininkitie|24.64659,60.15174
Jälkimaininki|24.64307,60.15378
Maininkitie|24.64726,60.15377
Aalto|24.63847,60.14988
Tyrskyvuori|24.63582,60.14948
Aalto|24.63885,60.15059
Aalto|24.63872,60.15066
Klockars|24.67743,60.3231
Lahnuksen koulu|24.70761,60.31005
Puosunrinne|24.64591,60.15024
Lahnuksen koulu|24.70757,60.30985
Puosunrinne|24.64639,60.15027
Petas|24.70554,60.22419
Ingas|24.69601,60.2235
Ingas|24.69408,60.22358
Linnustaja|24.708,60.22726
Riistatie|24.71542,60.2298
Riistatie|24.71583,60.23013
Auroran koulu|24.71609,60.23194
Auroran koulu|24.71632,60.23214
Linnustaja|24.7065,60.22545
Kolkeranta|24.70977,60.228
Kolkeranta|24.71094,60.22812
Pihlajarinne|24.69968,60.24182
Pihlajarinne|24.69561,60.2401
Järvenperänsilta|24.70065,60.24102
Puotismäentie|24.6906,60.24011
Järvenperä|24.71319,60.24461
Auroranportti|24.70498,60.23844
Kulloonristi|24.71569,60.2496
Kulloonristi|24.71774,60.25106
Kulloonmäki|24.71277,60.24653
Karamzinin koulu|24.71488,60.24335
Kulloonristi|24.7166,60.24994
Kulloonmäki|24.71263,60.24641
Auroranportti|24.70422,60.23785
Aurorakoti|24.70695,60.23912
Träskända|24.70481,60.23498
Pihlajarinne|24.69878,60.23238
Ollaksentie|24.69809,60.23172
Aurorakoti|24.70811,60.23841
Kylänportti|24.70263,60.24055
Träskända|24.7054,60.23605
Ryytimaa|24.71284,60.24109
Ryytimaa|24.71155,60.24082
Aurorakoti|24.70829,60.2389
Tollinportti|24.68117,60.22548
Bemböle skola|24.6774,60.22308
Kuninkaantie 22|24.68556,60.22592
Tollinportti|24.68211,60.22558
Pellas|24.69157,60.22856
Kuninkaantie 7|24.68628,60.22601
Temppelipelto|24.71562,60.2351
Träskändan puisto|24.71654,60.23408
Ollaksentie|24.69602,60.23077
Pellas|24.69282,60.229
Temppelipelto|24.71795,60.23462
Vilniemi|24.72211,60.23536
Petas|24.70664,60.22459
Vilniemi|24.72505,60.23562
Tammihaantie|24.71677,60.23402
Nelikko|24.74082,60.16175
Nelikko|24.74079,60.16189
Matinniitty|24.74802,60.15965
Matinniitty|24.74635,60.15936
Matinkallio|24.74765,60.16177
Matinkallio|24.74734,60.1618
Matinlahti|24.74997,60.15182
Matinlahti|24.75032,60.15149
Jorvin sairaala|24.68531,60.22126
Huhtaniitty|24.66798,60.22107
Huhtaniitty|24.66782,60.22125
Lommila|24.6607,60.21587
Hirvimiestentie|24.62903,60.21862
Hirvimiestentie|24.62921,60.21865
Hirvenportti|24.63159,60.21788
Hirvenportti|24.63165,60.21794
Laajalahdenristi|24.81595,60.2053
Kera/VR|24.75359,60.21604
Vesiniitty|24.67883,60.13647
Vesiniitty|24.68242,60.1378
Vesiniitty|24.68297,60.13875
Soukanmyötäle|24.66626,60.15236
Espoonlahdensolmu|24.66744,60.15341
Merikansantie|24.66543,60.14873
Merikansantie|24.66343,60.14867
Jorvi|24.68808,60.22342
Miilukorventie|24.65273,60.22154
Miilukorventie|24.65084,60.22153
Bellinmäki|24.67796,60.22248
Bellinmäki|24.67577,60.22263
Jorvi|24.68962,60.22336
Kera/VR|24.75359,60.21604
Lommila|24.6607,60.21701
Ikea|24.66194,60.21878
Ikea|24.66112,60.21797
Rysätie|24.67909,60.14278
Hannusjärvi|24.68258,60.14759
Hannusjärvi|24.68237,60.14756
Kaitaankulma|24.67967,60.14522
Kaitaankulma|24.67975,60.14542
Kaitamäenristi|24.68226,60.14333
Kaitamäenristi|24.68242,60.14261
Riilahti|24.68362,60.14071
Riilahti|24.68357,60.14097
Lehtimäki|24.65375,60.21406
Lehtimäki|24.65328,60.2131
Lommila|24.66093,60.21561
Suviniitty|24.66336,60.20479
Espoon keskus|24.65573,60.20556
Ratavallintie|24.68049,60.20799
Kulovalkea|24.68171,60.20654
Kylävainionkuja|24.67346,60.20863
Ratavallintie|24.6805,60.20808
Lommila|24.66148,60.21548
Araportti|24.76948,60.23822
Jupperi|24.77463,60.2532
Veininkatu|24.76494,60.2409
Jupperi|24.77489,60.25295
Nuottaniemi|24.74306,60.14763
Karhusuontie|24.63336,60.22181
Kurutie|24.62652,60.22333
Karhuniityntie|24.62021,60.22535
Gumbölenristi|24.62003,60.22458
Kurutie|24.62769,60.22296
Karhuniityntie|24.6214,60.22492
Kellonummen hautausm|24.64118,60.24003
Kellonummi|24.65407,60.24418
Kellonummen hautausm|24.64079,60.23961
Lukkarinpuro|24.6576,60.23559
Lukkarinpuro|24.65655,60.23591
Kellonummi|24.65364,60.24456
Myllytie|24.67003,60.22482
Myllytie|24.66961,60.2243
Tuna|24.66508,60.22894
Ristimäki|24.65923,60.23321
Oittaanranta|24.65577,60.23899
Tuna|24.66523,60.22863
Ristimäki|24.65912,60.2328
Oittaanranta|24.65545,60.23815
Kiltakallio|24.6548,60.19896
Kiltakallio|24.65519,60.19898
Espoontori|24.65633,60.20371
Kaivomestarinkatu|24.66085,60.20778
Suviniitty|24.66303,60.2049
Kirkkotie|24.65619,60.21117
Espoon asema|24.65686,60.20535
Espoontori|24.65667,60.20354
Samaria|24.6541,60.20307
Kaivomestarinkatu|24.66041,60.20801
Espoonportti|24.6621,60.20513
Kirkkotie|24.65499,60.21164
Espoon keskus|24.65781,60.2057
Espoontori|24.65772,60.20516
Espoontori|24.65858,60.20496
Kirkkojärvi|24.67653,60.20918
Kylävainionkuja|24.67197,60.20868
Kirkkojärvi|24.6769,60.20922
Kylätorintie|24.66912,60.20811
Kylätorintie|24.66879,60.2082
Lommila|24.65783,60.21543
Kotikyläntie|24.66579,60.20741
Kotikyläntie|24.66737,60.20751
Lommila|24.66125,60.21573
Hyljelahti|24.69971,60.14496
Hyljemäki|24.70844,60.14635
Hyljemäki|24.70725,60.14628
Hyljeranta|24.71122,60.14718
Hyljeranta|24.71156,60.14724
Hyljelahdentie|24.69727,60.14464
Hyljelahti|24.70064,60.14498
Arttelikuja|24.70323,60.14553
Arttelikuja|24.704,60.14573
Iivisniemi|24.69197,60.14788
Iivisniemenkatu 2|24.69157,60.14836
Iivisniemenkatu 1|24.69162,60.14829
Hannuskallio|24.68737,60.149
Kaitaan koulu|24.69535,60.14931
Hylkeenpyytäjä|24.70911,60.15091
Finnoonlahti|24.71046,60.15368
Finnoonlahti|24.70966,60.15327
Hylkeenpyytäjä|24.70941,60.15081
S:ojan voimalaitos|24.71671,60.14844
Ullanmäki|24.69643,60.20723
Lintuparventie|
Nemlahdentie|
Segersvenin puistopolku|
Koukkuniementie|
Taavintörmä|
Kurkihirrentie|
Gräsantörmä|
Espoon moottorikerhon rata|
Sienestäjänpolku|
Merituulentie|
St1 Espoo Automat Suomenoja|24.6931071,60.159768
Grilli Ribis|24.8018991,60.1767484
Big Brother house|24.74808448333334,60.21117024166667
Maakirjantie|
Aalto-yliopisto Maankäyttötieteiden laitos|24.808455679999998,60.18870148
Pyörätohtori|24.717713,60.2364507
Norppatie|
Holmanniitty|
Bergöntie|
Kalliopurontie|
Kaupunginkalliontie|
Töyryntie|
Ajurinmäki|
Spektri; Kvartti|24.806824575000004,60.18766383571428
St1 Espoo Automat Nupuri|24.594798,60.2381152
Aalto SAHA|24.823486000000003,60.1874105
Munkkirannankuja|
Suvis Pizzeria|24.6713719,60.2013086
Kanervatie|
Motonet|24.6538668,60.2164444
Kulkurinmäki|
Pirttitie|
Matinlahdenkuja|
Knattebo Westend|24.80033434545455,60.16372163636363
Sulka|
Hakamaantie|
Sammenpolku|
Ingaksentie|
Keskijuoksu|
Toyota Espoo|24.764322079999996,60.17200851000001
Riiankuja|
Viherkalliontie|
Tapiolan polkupyöräpaja|24.7982403,60.1749295
Siikajärventie|
Pikkunevantie|
Mustanlahdentie|
Särkikuja|
Ruisrääkäntie|
Tapiolantie|
Nuottakunnantie|
Välimäki|
Sokinvuorenkuja|
Kirkkotaival|
Hyljelahdentie|
Rauhamäenkuja|
Tiiliskivenkuja|
Simaportti|
Riistarinne|
Kuninkaankartanontie|
Aallokko|
Hot-Lips|24.794501,60.1832372
Isonjärventie|
Räävelintie|
Pohjois-Tapiolan koulu ja lukio|24.79087722307693,60.18720241282052
Sinimäentie 10|24.778224749999996,60.20498456666667
Kylänväenkuja|
Oittaan ulkoilukeskuksen välinevuokraamo|24.6575855,60.2416165
Road House|24.7275696,60.1724717
Keilaniementie|
Retkikuja|
Karhusuonportti|
Spektri; Pilotti|24.805091022222225,60.18890664444444
Kotiportinkuja|
Puukeskus|24.641348380000004,60.157289520000006
Pikkukouluntie|
Soukankuja|
Käpyovi|24.8322749,60.1849114
Jupperinaukio|
Sotaleskensilta|
Krenatöörin leikkialue|24.8339243,60.23893812857142
Kehrääjäntie|
Harakantie|
Terästie|
Villa Rulludd|24.7103751,60.1419774
Tahkokuja|
Tiistilänkaari|
Vantinpuisto|
Lasimäki|
Tung Hing|24.8053703,60.1753753
Metsänpojanpolku|
Fiskarsinmäen luontopolku|
Pyytie|
Reunaniitty|
Keskustie|
Laitmaninkuja|
Peltorinteenkuja|
Tarjoustalo - Espoo, Olari|24.7302678,60.1653786
Pinokkio|24.8130236,60.2215398
Joupinlaakso|
Poutahaukankuja|
Louhenkuja|
Rannikontie|
Rakentajainrinne|
Netto keittiöt|24.6982809,60.159999
Taavinkoti|24.753416376190476,60.19927893809523
Mankkaanmalmi|
Espoonlahden jäähalli|24.6609575,60.14769821578948
Reiviikintie|
Iltatie|
Porarinkatu|
Vanha Saunalahdentie|
Latotie|
Sorvalammenkuja|
Siwa|24.8145465,60.228894
Hirvikallio|
Hiiralankaari|
Etelärinne|
Ottelukuja|
Mankinniitty|
Curry Palace|24.810667,60.216866
Hirvimiestentie|
Paciuksentie|
Aapontie|
Niipperinkuja|
Bodöntie|
Kilonrinne|
Kiiltokallionpolku|
Aspelinintie|
Malminhaankuja|
Kattilajärventie|
Teboil|24.6562955,60.1988914
Kotikyläntie|
Linnustajantie|
Lepparintie|
Haukkakallio|
Lyhtykuja|
Syyskuja|
Sony Nordic (Finland)|24.82205145384616,60.21063916153845
Kaitamäenkuja|
Matinniitynkuja|
Hakamäentie|
Koti Pizza|24.6618042,60.1736173
Haarssintie|
Kanttorinkuja|
Matinkylän asukaspuisto|24.74666444,60.157303420000005
Niittykummun paloasema|24.7704016,60.17069303333333
Träskby skola|24.5701275,60.1977069
Urjan telttailualue|24.594374,60.2969223
Mynttiläntie|
Hippiäisentie|
as oy Tasakalliontie|24.695853996428575,60.20259758214286
Grin & Gos|24.7602386,60.1692408
Scandic|24.7557623,60.2072186
Heisipuunkuja|
Matinkylän apteekki|24.7390931,60.161848
K-Market Soukkari|24.6701834,60.1420248
Pitäjänportti|
Kaivosmiehentie|
Vääräjärventie|
Kivilammentie|
Runkotie|
Joupinkallio|
Vasikkakuja|
Kelkkamäentie|
Gräsantulli|
Kankipolku|
Pystypuu|
Kaurasuontie|
Koikorvenpolku|
Koskelonsilta|
Hauenkallio|
Tuomarilankuja|
Vaarlahdenpolku|
Peuramäentie|
Elosalamantie|
Siikajärven uimapaikka|24.5173113,60.2807359
Kourakuja|
Hagalundin kartano|24.820126415789478,60.18238165789475
Lyökkikuja|
Latokasken koulu|24.65305693870968,60.17780841290322
Ravintola BlueBell|24.777838,60.2049626
Valakuja|
konebox.fi|24.7187776,60.1625639
Iirislahdenpolku|
Miilupolku|
Postipuun Koulu|24.825035987999996,60.22335330800001
Nihtisilta|
Kartanonrouvantie|
Karhunkuoppa|
Piikivi|
Tatamisali|24.837685399999998,60.18775824000001
Vehkamäentie|
Tervamäki|
Kalmarinrinne|
Juhanintie|
Matinsyrjä|
Vanha Vanttilantie|
Joupinmäensyrjä|
Tolsanpiha|
Rantamäki|
Kutsuntatie|
Kivennavantie|
Papupolku|
Äijäntie|
Mustalammen itäpuolen telttailualue|24.512361,60.3060661
Eestinlaakso|
Tuomaantie|
Siltavahdintie|
Sahaojantie|
Kouluportinkuja|
Club Fennia|24.8110493,60.2188053
Glimsintie|
Reservinreitti|
Klovinrinne|
Linnatullinkatu|
Lakelankatu|
Pitkäniityntie|
Munkkiluodonkuja|
Ruusutorpanluola|
Länsimetsä|
Luuvanpuisto|
Nallisarvi|
Hynkänlammen laavu|24.61594918,60.269604060000006
Heinäslammentie|
Tieto Finland Oyj|24.749365876470588,60.212243599999994
Kukkumäenportti|
Histantie|
Laajalahden uimaranta|24.8292048,60.2042697
Harmaaniityntie|
Vuohilammentie|
Etelätuulentie|
Vanha Bergansintie|
Porttipolku|
Kaivomäki|
Nauriskaski|
Makslahdenpolku|
Säterinpuistontie|
Kaitakuja|
Matinkallio|
Vuorimiehentie|
Hyttipojankuja|
Niittyportti|
Sky Bowl|24.6575067,60.1484458
Kruununkuja|
Laukkupolku|
Mellsten|24.7734226,60.154156
Finnkino|24.7369558,60.1619373
Niittykummuntie|
Annantie|
Katos|24.832236976923074,60.250457653846155
Stensintie|
Hannuksenmäki|
Hesburger Espoo Barona Areena|24.7858499,60.17808
Fridhemintie|
ABC|24.7496328,60.2072369
Ruorimiehenkatu|
Isoistentie|
Tornihaukantie|
Kirkkalanportti|
Nuumäentie|
Luukin kahvila |24.6921911,60.3163309
Joupinlaaksontie|
Eestinkallio|
Sahajärventie|
Juvanpuisto|
Akselinpolku|
Telaniitynkuja|
Linnaisten kaivospuisto|24.7734051,60.25435
Niittokuja|
Rinnetie|
Riihiniityntie|
Talkoorinne|
Ajomiehentie|
Kääntöpiiri|
Cafe Cabriela|24.714771759999998,60.14548002
Asian Food Market|24.6658362,60.2021653
Videnäsintie|
Käkiniitty|
Kotiopettajankuja|
Piispankyläntie|
Toppelundintie|
Sello Rex|24.8088971,60.218126
Ajurinkatu|
Kavallinkallio|
Riimuniitynpolku|
Savikuja|
Sports car center|24.76056772,60.1806175
Betonimiehenkuja|
Ville Vallgrenin tie|
Leppälinnunkuja|
Klovinmäki|
Keltonkuja|
Mikontie|
Sävelrinne|
Forsellesintie|
Urpu|
Frutti Di Mare|24.8024214,60.176758
Kivenlahden terveysasema|24.63573870769231,60.154663684615386
Kavallinniitynkuja|
Amiraalin puistotie|
Gobbackantie|
Laudekuja|
Puolukkatie|
K-Supermarket Ruokaniitty|24.760176,60.1695185
Kuudes huvilatie|
Kalliorinteenpolku|
Olarinniityntie|
Veijarinkallio|
Veteraaninkuja|
Riistatie|
Luhtakertunkuja|
Metsämaantie|
Inchcape, Espoon autotalo|24.77944272222222,60.171393055555555
Merituuli|24.7067097,60.1629049
Åminnenranta|
Linkopolku|
Blominmäki|
Niittykatu|
Tervarinne|
Laturinkuja|
Räisäläntie|
Kuuterseläntie|
Leppäsillantie|
Pohjantie|
Innopoli|24.814427351351352,60.18375037297297
THT-Center|24.605902625,60.18446904166667
Kanervapiha|
Ramsaynkuja|
ratsastuskenttä|24.590324799999998,60.278882540000005
Espoonlahden päiväkoti|24.659087938461536,60.14756176923077
Nokia House|24.828230873239445,60.170951221126764
Porstuantie|
Espoo|24.6569676,60.2051454
Hirsikerrantie|
Kartanonherrantie|
Keittokatos|24.6703422,60.3319637
Siikajärvi|24.516712,60.2806526
Suinonsalmen uimaranta|24.6927939,60.1280373
Viiskorventie|
Kirvisenpolku|
Kilonkuja 3 A|24.77990552,60.218370379999996
Koivusyrjä|
Biologinkuja|
Kattilajärven uimapaikka|24.6199067,60.2988971
Lumivaarantie|
Välimetsä|
Jahtitorventie|
Kattilalaaksonkatu|
Päiväntaite|
Vindängens skola|24.798900383333336,60.17061498333334
Pellavakaskentie|
Rakentajaintie|
Puutarhatie|
Kuurinrinne|
Lumipallonpolku|
Etelä-Pohjoinen 10|
Pappilankuja|
Tervanpolttajankuja|
Ruomelanpolku|
Alasin|
Korpilaakso|
Espoonportti|
Kirjakatu|
Mirjankuja|
Turanko|
Sinitiaisentie|
Mäkipolku|
Sähkö|24.831382116666667,60.18898857142857
Länsiportti|
St1 Helsinki Automat Mäkkylä|24.8492211,60.2244173
Etelätie|
Puolarniityntie|
Häkläjärventie|
Mankkaanhaka|
Vallikallionpolku|
Oittaan ulkoilukeskuksen kahvila|24.6579518,60.2416698
Valintatalo|24.6617941,60.1676607
Matinlahti|24.75491833333333,60.153136960000005
Vianor|24.759297800000002,60.17882755
Bemböle skola|24.67827624,60.22289384
Kurutie|
Leipurinkuja|
Nihtikuja|
Leppävaaranraitti|
Kalastajankuja|
Valintatalo Kalajärvi|24.7405541,60.3051956
Luomannotko|
Mäkkylänpolku|
Karakalliontie|
Friisilänraitti|
Hannuksentie|
Mikkeläntie|
Kilontie|
Stensinmäki|
Hösmärinpuiston koulu|24.6757217,60.19936401428571
Kaitaanportti|
Palvelutalo Hopeakuu|24.72136885,60.1720629826923
Rastaalan koulu|24.77150616,60.2333211
Aurinkoniitynkuja|
Nunnanpolku|
Rikhard Nymanin tie|
Siltaniitynlaita|
K-Market Karakallio|24.7642189,60.2292528
Ruusupolku|
Kalaonnentie|
Fortum|24.830801354545454,60.17458862727273
Länsituulentie|
Viistastenpolku|
Mesimäki|
Koskelonkuja|
Boholmankuja|
Amarillo|24.6579771,60.2035329
Anfallintie|
Savitiilenkuja|
Juvanniitty|
Latokasken päiväkoti|24.651978153846155,60.177939353846156
Scavolini-keittiöt|24.7011423,60.1593997
Tony's Corner|24.812529,60.179173
Vaisalantie|
Karhusaarenpiha|
Mäkituvantie|
Parolanrinne|
Savupirtintie|
Varusmiehentie|
Rakentajainmäki|
Pellavakaskenmäki|
Metsäpirtintie|
Heinäkuja|
Hepokorventie|
Turvesilta|
Kolmas järvikuja|
Krenatöörinpolku|
Majalammenranta|
Viiskorvenmäki|
Saukonnorontie|
Sissos Arenan kenttä|24.830653506666668,60.25055087333333
Pikkulotankuja|
Keskipäivänkuja|
Puntaritie|
Korpikallio|
Hiiralankuja|
Ruukinmestarintie|
Kaitaantie|
Oittaan ulkoilukeskuksen sauna|24.6581123,60.2417084
Pikkusaartenkuja|
CoffeeBar 24 h|24.8071359,60.1772711
Kilonportti|
Nokkalanpuisto|
Pisan päiväkoti|24.6794263,60.1746311
Maakravunkuja|
Leilitie|
Sointukuja|
Pizzeria Poola|24.6420355,60.1540835
Ristiaallokonkatu|
Sokinpolku|
Purokuja|
Espoonkatu|
Kattilajärvi|24.6199062,60.2993121
Tarvaspää - Gallen-Kallelan museo|24.838862727272726,60.20644951818183
Puuhkalakintie|
Hauenkalliontie|
Pulmusentie|
Kulomäentie|
Lakkasuontie|
Torpparintie|
Herttuantie|
Tietäjänpolku|
Riihitontuntie|
Kalmarintie|
Viherkuja|
Santaholmankuja|
Blomintie|
Narsissipolku|
Niittyrinne|
Nummikuja|
Lounastuuli|24.7565879,60.275885
Iivisniemenkatu|
Kuusiniementie|
Tiistilänkuja|
Tähdenlennontie|
Soukankaari|
Ellipsikuja|
Nahkarinne|
Kukkumäenrinne|
Kilonkuja 3 B|24.7797662,60.21881544
Bike Planet Friisilä|24.7219488,60.1636516
Paimenenkallio|
Kaskihara|
Suotie|
Koulumestarin koulu|24.641828933333333,60.21317931666667
Platinatie|
Klovinportti|
Tunfallintie|
Marsalantie|
Pitkänotko|
Pääskyskuja|
Läkkitori|
Päiväperhontie|
Liitutie|
Etelä-Pohjoinen 11|
E. T. Charlie|24.7758395,60.1627963
Lansankallio|
Ruotutie|
Heimola|24.60901125714286,60.165069128571425
Vaahtopää|
Alaniemenkuja|
Hösmärinahde|
Auroranmäki|
Savutie|
Myllytie|
Maran Urheilu|24.714651,60.2286934
Riihikulma|
Vasamatie|
Teknikmagasinet|24.738233,60.1621077
Lähderannantie|
Kurkijärventie|
Haukanholman tulentekopaikka|24.5066385,60.3097321
Palvelukeskus Puistokartano|24.66197360769231,60.14874921923077
Metsätie|
Yläniityntie|
Auringonkuja|
Lounasmania|24.7302604,60.1654679
Urheilupuistontie|
Riilahdentie|
Nuottalahdenpolku|
Karhulaakso|
Ruorikuja|
Siltakuja|
Karhusuon koulu|24.621147572222217,60.228561561111114
Gallen-Kallelan tie|
Paciuksenmäki|
Clas Ohlson|24.6582302,60.2032649
Aalto-yliopiston Otaniemen kampuksen päärakennus|24.828718534399997,60.18637041519998
RTV-yhtymä|24.7022831,60.1614288
Frans Olinin polku|
Henttaan puistokatu|
Kantokasken koulu|24.662812412195123,60.180776773170734
Niittymaantie|
Tapulimäki|
Hedengren|24.60427210740741,60.18543055925926
Avaruuskatu|
Kurtinniityntie|
Lehti|
Lintulaakson silta|
Toinen huvilatie|
Finnoonojanpolku|
Painiitynteitti|
Vehkamäki|
Stella Business Park - Terra|24.81737166315789,60.212140000000005
Päiväkuja|
Suinonlahden uimaranta|24.6932916,60.1278964
Ilveksenkuja|
Eestinkalliontie|
Kuurinmäentie|
Toppelundinportti|
Näkinkylänportti|
Puolikuu|
OP-PUU|24.713577,60.1568826
Elisenvaarankuja|
Rinneportti|
Keltarousku|
Auroranportti|
Laituritie|
Lähderannan kukka|24.7416214,60.2398931
Lämpömiehenkuja|
YTHS Otaniemi|24.8322241,60.1909167
Ratavallintie|
Kuninkaantie|
Isonpuronkuja|
Arvelanniitty|
Piilopolku|
Cafe La Luna|24.6063811,60.2315053
Tikasniitynkuja|
Kaskenpolttajantie|
Bella-Center|24.7400029,60.1623943
Säynävätie|
Tuohimäki|
Valurinkuja|
Kelkkamäki|
Varpushaukankuja|
Varputie|
Kevättie|
Topi keittiöt|24.7019385,60.1610865
Koskelon teollisuusalue|24.7114332,60.2537149
Siuntionkuja|
Nuottakuninkaanpolku|
Piispanpuisto|
Kauniaistentie|
Ruomelanraitti|
Rastaanpesä|
Pellavakaski|
Ruukkukuja|
Steinerkoulu|24.7329845,60.1795132
Kivenlahden rantauimala|24.625781,60.1537431
Kappelitie|
Kantopolku|
Karvasmäentie|
Tikaskallio|
Kutojankulma|
Sinimäentie 14|24.780128018181816,60.202652400000005
Leppävaaran urheiluhalli|24.807604961904765,60.225759290476184
Tonttumyssynkuja|
Korpinkierros|
Jupperin koulun urh. kenttä|24.768887479999997,60.24651375999999
Harluntie|
Kaurapelto|
Lehdeskuja|
HopLop|24.7044199,60.1650789
Kirkkalantie|
Tukkurinkuja|
Rantatie|
Ruusutorpanpuisto|
Hakamäki|
Merisaappaan koulu|24.644845699999998,60.147596481818184
Luhtatie|
Helikopteripuisto|24.6667988,60.1654578
Liittokuja|
Iivisniementie|
Kattilajärvi tulipaikka|24.6206065,60.298348
Finnoonnitynkuja|
Arvelanaukio|
Länsitie|
Rauhalanpuisto|
Töyhtötiaisentie|
Vuokselantie|
Lintukorvenkuja|
Espoontie|
Frisbeepoint|24.847625,60.221323
Bilisti|24.6311362,60.1644155
Rokka|24.7349941,60.1757247
Apteekki|24.8143849,60.2187068
Etelä-Pohjoinen 12|
KilonRisti|24.7825466,60.2171011
Kulttuuriaukio|
Iivarintie|
VIP Club - Viherpool|24.7400145,60.2270254
Pihakulma|
Friisinmäentie|
Aalto-yliopisto Maarintalo|24.826226317391303,60.18927646521739
Ju Fu|24.6590823,60.2037192
Leppävaaran Kansantalo|24.817517792307697,60.22893542307692
Nuotiopiha|
Soukanväylä|
Lintukulma|
Hirvikuja|
Rastaalanrinne|
Juvanmalmintie 25|
Pizza Boss|24.7671479,60.1948535
Kirkkopuisto|
Vermo|24.834926883333335,60.2170458
Klippinkitie|
Sammalvuoren tunneli|
Ruispelto (Pitkäjärvi)|24.7358351,60.2506012
Kirkkonummentie|
Nurmikartanontie|
Parrukuja|
Hanikan ulkoilupuisto|24.69297186691729,60.13317392330827
Nostoväenkuja|
Pertuskatie|
Laguuna|24.7271607,60.2255343
Oravarinne|
Kivensyrjä|24.69491018,60.2045034
Pikkulinnunreitti|
Soukan Apteekki|24.6691754,60.1416366
Karhuniitynkuja|
Hannuksenpelto|
Tallimestarintie|
Aalto Meritekniikka|24.819184807142857,60.1860495642857
Rajamännynpolku|
Mahlarinne|
Lohenevä|
Skataholmantie|
Hämeenkyläntie|
Hirsikalliontie|
Visakoivuntie|
Kutojanpolku|
Lukutori|
Tiistiläntörmä|
Nupurintie|
Keilaterassi|
Itälinnake|
Raiviokorpi|
Hotel Meripuisto|24.63702931052632,60.14802732631579
Lippajärventie|
Anna Bildstenin Polku|
Ruukinsilta|
Vahtipolku|
Pikkalankulma|
Kuninkaanlähde|
Siirinkuja|
Kristallitie|
Musta pörssi|24.7068984,60.1629555
Kuusinevantie|
Isonniitynkuja|
Tietotie|
Building 1|24.75768376363636,60.224867345454534
Parolantie|
Purotörmä|
Henttaankaari|
Koivumäenkuja|
Kuusiniemi|
Vermonrinne|
Hankatie|
St1 Espoo Automat Soukka|24.6713219,60.141997
Antaksentie|
Ahtaanoja|
Kattilalaaksontie|
Hahlakuja|
Leppävaaran VPK|24.807107600000002,60.22087743846154
Jääskentie|
Polyteekkarimuseo|24.8365475,60.1873434
Taskumatti|24.7403478,60.15766
Ajoneuvokori Palvelu Akp|24.7596962,60.272259
Neljäskuja|
Boställs skolan|24.82705534375,60.22737798125
Lasimäentie|
Laidunrinne|
Soukanniementie|
Nyyrikintie|
Klobbenin rantauimala|24.6505986,60.1353099
Väli-baari & perheravintola|24.7255081,60.1734057
Pitäjänmäentie|
Lintumetsänpiha|
PC-Tohtori|24.7396491,60.1551462
Haarniskakuja|
Ukkohauentie|
Hösmärinpuiston päiväkoti|24.675796,60.1994452
Reserviläisentie|
Finnoontie|
Lidl|24.77432483076923,60.17055246923077
Raikorventie|
S-Market Lähderanta|24.7408961,60.2409413
Sotilaspojantie|
Peltokukka|
Tillinmaanpuisto|
Tiilikulma|
Bar Casanova|24.6471272,60.1516345
Aamutähti|
Eestinrinteentie|
Lahnuksentie|
Leica Geosystems Oy|24.7639388,60.2053631
Kartanonkuja|
Laaksolahden ala-aste|24.7692857,60.2490456
Kuparipolku|
Majamäentie|
Koivunrunko|
Helling|24.7167791,60.1625608
Heimolantie|
Solvalla Swinghill|24.554420599999993,60.29880033913046
Soukan rantatie|
Etelä-Pohjoinen 13|
Pirttimäki|24.6482225,60.2699277
Metsälammentie|
Tinametsä|
Espoon kielikylpypäiväkoti|24.787198742857147,60.15878247142857
Everstinkuja|
Ersintie|
Valkialampi Kehrääjänpesä|24.60072,60.2955153
Kukkumäentie|
